Message stats for scenario Taxis
sim_time: 86000.0000
5005.0 Taxis
2382.0 Taxis
11387.0 Taxis
10991.0 Taxis
10802.0 Taxis
20176.0 Taxis
21048.0 Taxis
20526.0 Taxis
29292.0 Taxis
22539.0 Taxis
25989.0 Taxis
26641.0 Taxis
32720.0 Taxis
22898.0 Taxis
29238.0 Taxis
45649.0 Taxis
34919.0 Taxis
44121.0 Taxis
47485.0 Taxis
46007.0 Taxis
38500.0 Taxis
49764.0 Taxis
40151.0 Taxis
38722.0 Taxis
51100.0 Taxis
52127.0 Taxis
55749.0 Taxis
50459.0 Taxis
44965.0 Taxis
54146.0 Taxis
53956.0 Taxis
51156.0 Taxis
56571.0 Taxis
56007.0 Taxis
65748.0 Taxis
53948.0 Taxis
61090.0 Taxis
66460.0 Taxis
58942.0 Taxis
58842.0 Taxis
63388.0 Taxis
67253.0 Taxis
74077.0 Taxis
72462.0 Taxis
69105.0 Taxis
