Message stats for scenario Cisco
sim_time: 86000.0000
1528.0 Cisco
3297.0 Cisco
5538.0 Cisco
5418.0 Cisco
1640.0 Cisco
4819.0 Cisco
8485.0 Cisco
4753.0 Cisco
7494.0 Cisco
6997.0 Cisco
8905.0 Cisco
4901.0 Cisco
7009.0 Cisco
6109.0 Cisco
9039.0 Cisco
2639.0 Cisco
9420.0 Cisco
7925.0 Cisco
10901.0 Cisco
9402.0 Cisco
5653.0 Cisco
6027.0 Cisco
5148.0 Cisco
11789.0 Cisco
9449.0 Cisco
8679.0 Cisco
7417.0 Cisco
3250.0 Cisco
10368.0 Cisco
4285.0 Cisco
14879.0 Cisco
14060.0 Cisco
7769.0 Cisco
12159.0 Cisco
5830.0 Cisco
6549.0 Cisco
10891.0 Cisco
15609.0 Cisco
7170.0 Cisco
10479.0 Cisco
15828.0 Cisco
10532.0 Cisco
9134.0 Cisco
8637.0 Cisco
13728.0 Cisco
14340.0 Cisco
3659.0 Cisco
9279.0 Cisco
9963.0 Cisco
9122.0 Cisco
14701.0 Cisco
16341.0 Cisco
17843.0 Cisco
13601.0 Cisco
4457.0 Cisco
11502.0 Cisco
6272.0 Cisco
8781.0 Cisco
10292.0 Cisco
7938.0 Cisco
10231.0 Cisco
7762.0 Cisco
16463.0 Cisco
6011.0 Cisco
11762.0 Cisco
4472.0 Cisco
5251.0 Cisco
18813.0 Cisco
13033.0 Cisco
8782.0 Cisco
7700.0 Cisco
7402.0 Cisco
7184.0 Cisco
16561.0 Cisco
19252.0 Cisco
5069.0 Cisco
9461.0 Cisco
7362.0 Cisco
15042.0 Cisco
6281.0 Cisco
6703.0 Cisco
17817.0 Cisco
16934.0 Cisco
8921.0 Cisco
6124.0 Cisco
21484.0 Cisco
9892.0 Cisco
6807.0 Cisco
16313.0 Cisco
11683.0 Cisco
6061.0 Cisco
21684.0 Cisco
5823.0 Cisco
11905.0 Cisco
8094.0 Cisco
7543.0 Cisco
8145.0 Cisco
14794.0 Cisco
10355.0 Cisco
8435.0 Cisco
16245.0 Cisco
11646.0 Cisco
9856.0 Cisco
9256.0 Cisco
11698.0 Cisco
9760.0 Cisco
17761.0 Cisco
9968.0 Cisco
18645.0 Cisco
25319.0 Cisco
10879.0 Cisco
22740.0 Cisco
16949.0 Cisco
24780.0 Cisco
19281.0 Cisco
14982.0 Cisco
21411.0 Cisco
11480.0 Cisco
28891.0 Cisco
13120.0 Cisco
20630.0 Cisco
14972.0 Cisco
24591.0 Cisco
21900.0 Cisco
18011.0 Cisco
24171.0 Cisco
18921.0 Cisco
15960.0 Cisco
17425.0 Cisco
15331.0 Cisco
21531.0 Cisco
27409.0 Cisco
32710.0 Cisco
28239.0 Cisco
36640.0 Cisco
27243.0 Cisco
32550.0 Cisco
32970.0 Cisco
31160.0 Cisco
40530.0 Cisco
38121.0 Cisco
35971.0 Cisco
43913.0 Cisco
35932.0 Cisco
39951.0 Cisco
41503.0 Cisco
39534.0 Cisco
34445.0 Cisco
33404.0 Cisco
43135.0 Cisco
44204.0 Cisco
40707.0 Cisco
37378.0 Cisco
41600.0 Cisco
52733.0 Cisco
