Message stats for scenario MixnetEpidemicRouter
sim_time: 86000.0000
673.0 MixnetEpidemicRouter
287.0 MixnetEpidemicRouter
608.0 MixnetEpidemicRouter
346.0 MixnetEpidemicRouter
1443.0 MixnetEpidemicRouter
2.0 MixnetEpidemicRouter
5.0 MixnetEpidemicRouter
1482.0 MixnetEpidemicRouter
1088.0 MixnetEpidemicRouter
19.0 MixnetEpidemicRouter
1927.0 MixnetEpidemicRouter
3655.0 MixnetEpidemicRouter
49934.0 MixnetEpidemicRouter
49360.0 MixnetEpidemicRouter
51171.0 MixnetEpidemicRouter
48862.0 MixnetEpidemicRouter
48502.0 MixnetEpidemicRouter
48003.0 MixnetEpidemicRouter
44774.0 MixnetEpidemicRouter
41072.0 MixnetEpidemicRouter
46072.0 MixnetEpidemicRouter
46172.0 MixnetEpidemicRouter
42729.0 MixnetEpidemicRouter
40898.0 MixnetEpidemicRouter
47000.0 MixnetEpidemicRouter
47710.0 MixnetEpidemicRouter
44423.0 MixnetEpidemicRouter
41061.0 MixnetEpidemicRouter
39580.0 MixnetEpidemicRouter
38113.0 MixnetEpidemicRouter
42414.0 MixnetEpidemicRouter
43919.0 MixnetEpidemicRouter
43049.0 MixnetEpidemicRouter
39152.0 MixnetEpidemicRouter
49069.0 MixnetEpidemicRouter
50383.0 MixnetEpidemicRouter
48001.0 MixnetEpidemicRouter
38621.0 MixnetEpidemicRouter
54124.0 MixnetEpidemicRouter
44981.0 MixnetEpidemicRouter
39497.0 MixnetEpidemicRouter
41425.0 MixnetEpidemicRouter
41390.0 MixnetEpidemicRouter
49292.0 MixnetEpidemicRouter
47771.0 MixnetEpidemicRouter
49030.0 MixnetEpidemicRouter
43962.0 MixnetEpidemicRouter
53164.0 MixnetEpidemicRouter
43682.0 MixnetEpidemicRouter
48309.0 MixnetEpidemicRouter
50309.0 MixnetEpidemicRouter
55424.0 MixnetEpidemicRouter
39363.0 MixnetEpidemicRouter
46432.0 MixnetEpidemicRouter
40369.0 MixnetEpidemicRouter
46078.0 MixnetEpidemicRouter
53278.0 MixnetEpidemicRouter
49965.0 MixnetEpidemicRouter
47871.0 MixnetEpidemicRouter
54080.0 MixnetEpidemicRouter
48907.0 MixnetEpidemicRouter
50911.0 MixnetEpidemicRouter
44037.0 MixnetEpidemicRouter
53459.0 MixnetEpidemicRouter
49132.0 MixnetEpidemicRouter
57632.0 MixnetEpidemicRouter
55576.0 MixnetEpidemicRouter
56185.0 MixnetEpidemicRouter
52718.0 MixnetEpidemicRouter
47222.0 MixnetEpidemicRouter
48787.0 MixnetEpidemicRouter
49230.0 MixnetEpidemicRouter
54575.0 MixnetEpidemicRouter
57797.0 MixnetEpidemicRouter
49542.0 MixnetEpidemicRouter
56148.0 MixnetEpidemicRouter
58096.0 MixnetEpidemicRouter
52758.0 MixnetEpidemicRouter
55953.0 MixnetEpidemicRouter
59578.0 MixnetEpidemicRouter
46792.0 MixnetEpidemicRouter
59087.0 MixnetEpidemicRouter
44607.0 MixnetEpidemicRouter
57769.0 MixnetEpidemicRouter
45936.0 MixnetEpidemicRouter
57166.0 MixnetEpidemicRouter
54974.0 MixnetEpidemicRouter
56283.0 MixnetEpidemicRouter
50154.0 MixnetEpidemicRouter
49160.0 MixnetEpidemicRouter
56612.0 MixnetEpidemicRouter
62328.0 MixnetEpidemicRouter
57315.0 MixnetEpidemicRouter
58624.0 MixnetEpidemicRouter
53296.0 MixnetEpidemicRouter
51505.0 MixnetEpidemicRouter
57515.0 MixnetEpidemicRouter
62816.0 MixnetEpidemicRouter
54007.0 MixnetEpidemicRouter
54410.0 MixnetEpidemicRouter
52454.0 MixnetEpidemicRouter
51663.0 MixnetEpidemicRouter
60467.0 MixnetEpidemicRouter
66374.0 MixnetEpidemicRouter
54181.0 MixnetEpidemicRouter
68844.0 MixnetEpidemicRouter
64828.0 MixnetEpidemicRouter
79244.0 MixnetEpidemicRouter
