Message stats for scenario MixnetSnWRouter
sim_time: 140000.0000
49262.0 MixnetSnWRouter
52460.0 MixnetSnWRouter
50288.0 MixnetSnWRouter
37371.0 MixnetSnWRouter
46540.0 MixnetSnWRouter
39651.0 MixnetSnWRouter
28157.0 MixnetSnWRouter
42797.0 MixnetSnWRouter
48545.0 MixnetSnWRouter
53414.0 MixnetSnWRouter
31816.0 MixnetSnWRouter
41167.0 MixnetSnWRouter
25953.0 MixnetSnWRouter
45492.0 MixnetSnWRouter
30216.0 MixnetSnWRouter
32216.0 MixnetSnWRouter
29985.0 MixnetSnWRouter
40543.0 MixnetSnWRouter
36775.0 MixnetSnWRouter
27248.0 MixnetSnWRouter
52769.0 MixnetSnWRouter
30229.0 MixnetSnWRouter
41777.0 MixnetSnWRouter
32981.0 MixnetSnWRouter
48037.0 MixnetSnWRouter
34239.0 MixnetSnWRouter
38597.0 MixnetSnWRouter
52208.0 MixnetSnWRouter
33218.0 MixnetSnWRouter
30728.0 MixnetSnWRouter
34872.0 MixnetSnWRouter
51276.0 MixnetSnWRouter
29420.0 MixnetSnWRouter
42853.0 MixnetSnWRouter
38160.0 MixnetSnWRouter
54216.0 MixnetSnWRouter
48117.0 MixnetSnWRouter
46311.0 MixnetSnWRouter
38920.0 MixnetSnWRouter
36722.0 MixnetSnWRouter
45970.0 MixnetSnWRouter
37075.0 MixnetSnWRouter
50051.0 MixnetSnWRouter
53557.0 MixnetSnWRouter
37475.0 MixnetSnWRouter
28411.0 MixnetSnWRouter
46762.0 MixnetSnWRouter
54766.0 MixnetSnWRouter
48396.0 MixnetSnWRouter
37212.0 MixnetSnWRouter
55812.0 MixnetSnWRouter
54291.0 MixnetSnWRouter
34294.0 MixnetSnWRouter
47922.0 MixnetSnWRouter
42060.0 MixnetSnWRouter
29119.0 MixnetSnWRouter
29046.0 MixnetSnWRouter
50153.0 MixnetSnWRouter
49926.0 MixnetSnWRouter
30457.0 MixnetSnWRouter
46389.0 MixnetSnWRouter
35646.0 MixnetSnWRouter
40113.0 MixnetSnWRouter
48796.0 MixnetSnWRouter
49855.0 MixnetSnWRouter
42321.0 MixnetSnWRouter
45430.0 MixnetSnWRouter
49635.0 MixnetSnWRouter
52570.0 MixnetSnWRouter
49502.0 MixnetSnWRouter
58030.0 MixnetSnWRouter
54817.0 MixnetSnWRouter
57887.0 MixnetSnWRouter
32597.0 MixnetSnWRouter
39763.0 MixnetSnWRouter
57419.0 MixnetSnWRouter
56644.0 MixnetSnWRouter
54607.0 MixnetSnWRouter
55977.0 MixnetSnWRouter
54230.0 MixnetSnWRouter
46749.0 MixnetSnWRouter
57106.0 MixnetSnWRouter
49664.0 MixnetSnWRouter
34249.0 MixnetSnWRouter
55589.0 MixnetSnWRouter
55197.0 MixnetSnWRouter
48965.0 MixnetSnWRouter
60896.0 MixnetSnWRouter
41507.0 MixnetSnWRouter
60007.0 MixnetSnWRouter
40838.0 MixnetSnWRouter
54823.0 MixnetSnWRouter
48592.0 MixnetSnWRouter
60505.0 MixnetSnWRouter
58160.0 MixnetSnWRouter
49602.0 MixnetSnWRouter
36113.0 MixnetSnWRouter
57720.0 MixnetSnWRouter
38307.0 MixnetSnWRouter
37018.0 MixnetSnWRouter
57021.0 MixnetSnWRouter
43738.0 MixnetSnWRouter
42685.0 MixnetSnWRouter
52985.0 MixnetSnWRouter
35006.0 MixnetSnWRouter
39866.0 MixnetSnWRouter
51976.0 MixnetSnWRouter
55871.0 MixnetSnWRouter
61296.0 MixnetSnWRouter
41030.0 MixnetSnWRouter
52290.0 MixnetSnWRouter
