Message stats for scenario MixnetEpidemicRouter
sim_time: 86000.0000
1141.0 MixnetEpidemicRouter
868.0 MixnetEpidemicRouter
776.0 MixnetEpidemicRouter
1711.0 MixnetEpidemicRouter
14.0 MixnetEpidemicRouter
2.0 MixnetEpidemicRouter
13.0 MixnetEpidemicRouter
6.0 MixnetEpidemicRouter
2617.0 MixnetEpidemicRouter
1117.0 MixnetEpidemicRouter
19.0 MixnetEpidemicRouter
1829.0 MixnetEpidemicRouter
11.0 MixnetEpidemicRouter
10912.0 MixnetEpidemicRouter
48304.0 MixnetEpidemicRouter
51768.0 MixnetEpidemicRouter
47897.0 MixnetEpidemicRouter
51852.0 MixnetEpidemicRouter
40789.0 MixnetEpidemicRouter
43368.0 MixnetEpidemicRouter
46695.0 MixnetEpidemicRouter
47414.0 MixnetEpidemicRouter
38867.0 MixnetEpidemicRouter
46872.0 MixnetEpidemicRouter
41077.0 MixnetEpidemicRouter
52505.0 MixnetEpidemicRouter
51346.0 MixnetEpidemicRouter
50260.0 MixnetEpidemicRouter
40316.0 MixnetEpidemicRouter
42716.0 MixnetEpidemicRouter
40630.0 MixnetEpidemicRouter
44273.0 MixnetEpidemicRouter
50587.0 MixnetEpidemicRouter
41982.0 MixnetEpidemicRouter
41125.0 MixnetEpidemicRouter
45852.0 MixnetEpidemicRouter
42749.0 MixnetEpidemicRouter
46770.0 MixnetEpidemicRouter
38610.0 MixnetEpidemicRouter
54124.0 MixnetEpidemicRouter
38126.0 MixnetEpidemicRouter
42603.0 MixnetEpidemicRouter
49280.0 MixnetEpidemicRouter
42140.0 MixnetEpidemicRouter
41475.0 MixnetEpidemicRouter
38687.0 MixnetEpidemicRouter
45706.0 MixnetEpidemicRouter
38920.0 MixnetEpidemicRouter
53523.0 MixnetEpidemicRouter
44379.0 MixnetEpidemicRouter
40022.0 MixnetEpidemicRouter
53322.0 MixnetEpidemicRouter
51247.0 MixnetEpidemicRouter
53781.0 MixnetEpidemicRouter
47896.0 MixnetEpidemicRouter
53159.0 MixnetEpidemicRouter
49930.0 MixnetEpidemicRouter
47832.0 MixnetEpidemicRouter
45680.0 MixnetEpidemicRouter
52367.0 MixnetEpidemicRouter
47089.0 MixnetEpidemicRouter
55665.0 MixnetEpidemicRouter
56269.0 MixnetEpidemicRouter
56574.0 MixnetEpidemicRouter
52788.0 MixnetEpidemicRouter
51359.0 MixnetEpidemicRouter
55782.0 MixnetEpidemicRouter
43909.0 MixnetEpidemicRouter
49128.0 MixnetEpidemicRouter
45088.0 MixnetEpidemicRouter
43520.0 MixnetEpidemicRouter
49645.0 MixnetEpidemicRouter
57178.0 MixnetEpidemicRouter
51302.0 MixnetEpidemicRouter
47011.0 MixnetEpidemicRouter
45613.0 MixnetEpidemicRouter
53107.0 MixnetEpidemicRouter
52621.0 MixnetEpidemicRouter
47692.0 MixnetEpidemicRouter
48963.0 MixnetEpidemicRouter
51792.0 MixnetEpidemicRouter
55571.0 MixnetEpidemicRouter
54974.0 MixnetEpidemicRouter
46986.0 MixnetEpidemicRouter
58390.0 MixnetEpidemicRouter
50720.0 MixnetEpidemicRouter
48534.0 MixnetEpidemicRouter
56319.0 MixnetEpidemicRouter
57740.0 MixnetEpidemicRouter
60788.0 MixnetEpidemicRouter
54414.0 MixnetEpidemicRouter
51967.0 MixnetEpidemicRouter
61983.0 MixnetEpidemicRouter
53297.0 MixnetEpidemicRouter
52505.0 MixnetEpidemicRouter
51507.0 MixnetEpidemicRouter
62819.0 MixnetEpidemicRouter
61580.0 MixnetEpidemicRouter
60125.0 MixnetEpidemicRouter
59428.0 MixnetEpidemicRouter
56360.0 MixnetEpidemicRouter
58767.0 MixnetEpidemicRouter
57573.0 MixnetEpidemicRouter
62179.0 MixnetEpidemicRouter
63110.0 MixnetEpidemicRouter
60916.0 MixnetEpidemicRouter
54418.0 MixnetEpidemicRouter
59182.0 MixnetEpidemicRouter
56384.0 MixnetEpidemicRouter
64830.0 MixnetEpidemicRouter
79263.0 MixnetEpidemicRouter
