Message stats for scenario MixnetEpidemicRouter
sim_time: 86000.0000
51850.0 MixnetEpidemicRouter
43578.0 MixnetEpidemicRouter
51999.0 MixnetEpidemicRouter
50708.0 MixnetEpidemicRouter
53605.0 MixnetEpidemicRouter
41789.0 MixnetEpidemicRouter
42046.0 MixnetEpidemicRouter
39811.0 MixnetEpidemicRouter
50633.0 MixnetEpidemicRouter
47835.0 MixnetEpidemicRouter
41157.0 MixnetEpidemicRouter
46361.0 MixnetEpidemicRouter
46369.0 MixnetEpidemicRouter
43527.0 MixnetEpidemicRouter
39529.0 MixnetEpidemicRouter
45858.0 MixnetEpidemicRouter
46286.0 MixnetEpidemicRouter
53804.0 MixnetEpidemicRouter
52507.0 MixnetEpidemicRouter
43921.0 MixnetEpidemicRouter
46323.0 MixnetEpidemicRouter
50653.0 MixnetEpidemicRouter
43411.0 MixnetEpidemicRouter
45418.0 MixnetEpidemicRouter
45501.0 MixnetEpidemicRouter
46037.0 MixnetEpidemicRouter
47049.0 MixnetEpidemicRouter
47821.0 MixnetEpidemicRouter
53138.0 MixnetEpidemicRouter
43643.0 MixnetEpidemicRouter
50460.0 MixnetEpidemicRouter
48817.0 MixnetEpidemicRouter
40420.0 MixnetEpidemicRouter
42224.0 MixnetEpidemicRouter
49578.0 MixnetEpidemicRouter
53164.0 MixnetEpidemicRouter
40071.0 MixnetEpidemicRouter
43779.0 MixnetEpidemicRouter
55115.0 MixnetEpidemicRouter
49981.0 MixnetEpidemicRouter
47900.0 MixnetEpidemicRouter
48002.0 MixnetEpidemicRouter
55416.0 MixnetEpidemicRouter
53465.0 MixnetEpidemicRouter
43966.0 MixnetEpidemicRouter
45090.0 MixnetEpidemicRouter
52891.0 MixnetEpidemicRouter
46457.0 MixnetEpidemicRouter
50395.0 MixnetEpidemicRouter
55721.0 MixnetEpidemicRouter
45772.0 MixnetEpidemicRouter
53861.0 MixnetEpidemicRouter
56530.0 MixnetEpidemicRouter
59870.0 MixnetEpidemicRouter
51852.0 MixnetEpidemicRouter
47491.0 MixnetEpidemicRouter
60901.0 MixnetEpidemicRouter
52281.0 MixnetEpidemicRouter
60117.0 MixnetEpidemicRouter
60763.0 MixnetEpidemicRouter
56096.0 MixnetEpidemicRouter
57259.0 MixnetEpidemicRouter
56662.0 MixnetEpidemicRouter
58518.0 MixnetEpidemicRouter
61470.0 MixnetEpidemicRouter
55660.0 MixnetEpidemicRouter
55062.0 MixnetEpidemicRouter
56376.0 MixnetEpidemicRouter
60699.0 MixnetEpidemicRouter
61651.0 MixnetEpidemicRouter
50481.0 MixnetEpidemicRouter
49491.0 MixnetEpidemicRouter
56602.0 MixnetEpidemicRouter
49211.0 MixnetEpidemicRouter
63026.0 MixnetEpidemicRouter
46650.0 MixnetEpidemicRouter
59147.0 MixnetEpidemicRouter
56695.0 MixnetEpidemicRouter
54633.0 MixnetEpidemicRouter
65045.0 MixnetEpidemicRouter
52299.0 MixnetEpidemicRouter
67618.0 MixnetEpidemicRouter
65295.0 MixnetEpidemicRouter
58603.0 MixnetEpidemicRouter
55915.0 MixnetEpidemicRouter
64858.0 MixnetEpidemicRouter
53329.0 MixnetEpidemicRouter
52557.0 MixnetEpidemicRouter
51558.0 MixnetEpidemicRouter
52490.0 MixnetEpidemicRouter
64000.0 MixnetEpidemicRouter
57700.0 MixnetEpidemicRouter
51501.0 MixnetEpidemicRouter
64882.0 MixnetEpidemicRouter
79446.0 MixnetEpidemicRouter
82220.0 MixnetEpidemicRouter
